species	decimalLongitude	decimalLatitude
Odocoileus virginianus	-85.127664	10.450795
Ateles geoffroyi	-83.377388	8.532116
Alouatta palliata	-84.007076	10.430987
Dasyprocta punctata	-84.144555	9.389794
Cebus imitator	-85.409517	10.368473
Cebus imitator	-84.610995	9.808941
Dasyprocta punctata	-83.293566	8.380022
Dasyprocta punctata	-84.902267	9.804367
Tapirella bairdii	-83.539243	8.442954
Cebus imitator	-84.798915	10.282272
Rhynchonycteris naso	-83.518718	10.560785
Alouatta palliata	-83.811296	9.757217
Felis catus	-84.072869	9.933967
Ectophylla alba	-84.076762	10.436253
Rhynchonycteris naso	-85.409063	10.369567
Cebus imitator	-83.280814	8.396593
Bradypus variegatus	-84.136988	9.392308
Sciurus variegatoides	-85.702393	9.997275
Alouatta palliata	-85.658858	9.916842
Stenella attenuata	-85.935256	10.44028
Odocoileus virginianus	-85.127472	10.45152
Didelphis marsupialis	-85.599578	10.891465
Ateles geoffroyi	-84.64061	10.5556
Alouatta palliata	-84.005181	10.431333
Cebus imitator	-84.143915	9.382068
Bradypus variegatus	-84.142822	9.382061
Alouatta palliata	-84.005556	10.431389
Cebus imitator	-84.145091	9.39092
Sciurus variegatoides	-85.676449	10.580288
Cebus imitator	-82.823668	9.7287960000000009
Dasyprocta punctata	-83.563891	9.832104
Dasyprocta punctata	-82.728454	9.643071
Ateles geoffroyi	-85.262577	10.602922
Cebus imitator	-85.342259	10.347052
Nasua narica	-84.807572	10.306547
Odocoileus virginianus	-83.753428	9.748917
Cebus imitator	-84.136988	9.392308
Alouatta palliata	-84.021081	10.481025
Dasyprocta punctata	-84.008675	10.435193
Choloepus hoffmanni	-84.153236	9.401688
Nasua narica	-84.794426	10.302089
Rhynchonycteris naso	-83.447772	10.409034
Alouatta palliata	-84.719125	11.021959
Carollia perspicillata	-84.103404	10.363012
Saimiri oerstedii	-83.550257	8.857444
Eira barbara	-84.509322	10.472579
Cebus imitator	-84.811861	10.307103
Sciurus variegatoides	-83.563424	9.831398
Alouatta palliata	-84.79567	10.89241
Cebus imitator	-84.630578	9.640059
Cebus imitator	-84.271103	9.923708
Rhynchonycteris naso	-84.02203	10.423268
Cebus imitator	-82.838731	9.735984
Nasua narica	-84.161098	9.407248
Alouatta palliata	-82.838992	9.736527
Procyon lotor	-83.308186	8.541361
Cebus imitator	-85.631743	11.07002
Alouatta palliata	-84.754355	10.488003
Sciurus variegatoides	-83.785355	10.438189
Urocyon cinereoargenteus	-84.825734	10.279017
Cebus imitator	-84.143051	9.381987
Sciurus variegatoides	-85.013583	9.736122
Dasyprocta punctata	-85.609164	10.895517
Choloepus hoffmanni	-84.129292	9.385722
Pecari tajacu	-85.35633	10.347967
Bradypus variegatus	-84.653781	10.471695
Nasua narica	-84.798583	10.282644
Ateles geoffroyi	-83.589542	10.747233
Alouatta palliata	-84.79569	10.30264
Cebus imitator	-85.02755	10.718945
Cebus imitator	-84.136988	9.392308
Sciurus variegatoides	-84.079258	9.981027
Nasua narica	-85.686125	10.611648
Tamandua mexicana	-84.706488	10.43572
Alouatta palliata	-84.669447	9.991064
Alouatta palliata	-85.843595	10.29587
Tonatia bakeri	-83.048831	8.716878
Alouatta palliata	-84.014195	10.397763
Ateles geoffroyi	-83.460493	8.592271
Saccopteryx leptura	-85.483951	10.667819
Sciurus variegatoides	-84.729256	10.467039
Cebus imitator	-83.691568	8.693234
Ateles geoffroyi	-84.552058	9.65281
Ectophylla alba	-83.98385	10.268164
Cebus imitator	-84.596529	9.796523
Bradypus variegatus	-84.142861	9.385011
Odocoileus virginianus	-84.143272	9.385745
Alouatta palliata	-84.065978	10.449381
Bradypus variegatus	-83.810796	9.224016
Bradypus variegatus	-84.683942	10.486868
Cebus imitator	-83.479961	8.446921
Cebus imitator	-83.649864	9.088547
Ateles geoffroyi	-84.641886	10.547725
Caluromys derbianus	-84.973672	10.548103
Odocoileus virginianus	-85.599874	10.89079
Cebus imitator	-84.625671	9.777682
Tapirella bairdii	-85.169943	10.652175
Rhynchonycteris naso	-83.442157	10.338491
Bradypus variegatus	-83.503333	10.541796
Saimiri oerstedii	-83.441414	8.458328
Potos flavus	-84.02203	10.423268
NA	-85.738363	10.034692
Procyon lotor	-84.786338	10.301835
Alouatta palliata	-83.99899	10.462125
Nasua narica	-84.722371	10.489039
Dasyprocta punctata	-84.004067	10.435081
Canis latrans	-84.81005	10.317163
Panthera onca	-83.562764	10.489799
Cuniculus paca	-84.793414	10.366497
Dasyprocta punctata	-84.805494	10.048494
Procyon lotor	-82.845215	9.734786
Cebus imitator	-83.502355	10.542484
Nasua narica	-84.669377	10.430658
Cebus imitator	-83.967842	9.322695
Alouatta palliata	-84.813259	10.313586
Alouatta palliata	-84.575276	9.861468
Tamandua mexicana	-82.849981	9.739412
Cebus imitator	-84.147802	9.412131
Bradypus variegatus	-82.780655	9.645185
Nasua narica	-84.806924	10.306364
Alouatta palliata	-85.664825	9.952011
Nasua narica	-84.75669	10.485992
Nasua narica	-84.747283	10.509056
Alouatta palliata	-82.839195	9.736463
Ectophylla alba	-84.073081	10.497851
Saimiri oerstedii	-83.457393	8.523358
Cebus imitator	-82.816072	9.717806
Choloepus hoffmanni	-84.004508	10.431197
Alouatta palliata	-85.850875	10.286072
Ateles geoffroyi	-82.798571	9.606006
Pecari tajacu	-84.006153	10.430875
Odocoileus virginianus	-84.14489	9.390392
Bradypus variegatus	-84.049677	9.936485
Sciurus variegatoides	-85.840937	10.301428
Cebus imitator	-83.960305	9.336238
Nasua narica	-84.142839	9.382242
Ateles geoffroyi	-83.383542	8.538544
Saimiri oerstedii	-83.359523	8.464404
